mmsi,name,operator,com_score_reported,compliance score (calculated speed),total distance (km),average speed (knots),average speed calculated (knots),total distance (nautcal miles),distance (nautcal miles) over 10 knots,distance (nautcal miles) 0-10 knots,distance (nautcal miles) 10-12 knots,distance (nautcal miles) 12-15 knots,distance (nautcal miles) over 15 knots,number_of_distinct_trips,gt,ship_type,ship_type_ihs,noaa compliance score (reported speed),noaa compliance score (calculated speed),grade,noaa_grade
367027570,CHINOOK,Sause Bros Inc,99.93939778182639,96.25296860734109,3111.7788372,6.1003573931324455,6.121375788367204,1680.2267655980004,1.1250128285110002,1679.2085109077016,1.018254690299,0,0,29,614,32,Tug,99.93939778182639,96.25296860734109,A+,A
367349430,PACIFIC FALCON,Olympic Tug & Barge Inc,100,90.78585332686745,2614.5264412,6.831344327836082,7.131916730234883,1411.7318536110286,0,1411.7318536110286,0,0,0,26,402,32,Tug,100,90.78585332686745,A+,A
367153070,MIKIONA,Sause Bros Inc,99.38116490479145,83.87038937474664,2478.4372313,7.464470027788805,7.665628660976578,1338.2495321010542,9.385780090288801,1329.9679743349484,8.2815577661058,0,0,28,496,32,Tug,99.38116490479145,83.87038937474664,A+,A
366971980,MILLENNIUMSTAR,Olympic Tug & Barge Inc,99.15666567408813,74.21718754881098,2015.5654143,7.415287769784173,9.657706366606714,1088.3186544091852,13.0590456282209,1079.1404896212503,9.178164787935,0,0,13,362,52,Tug,99.15666567408813,74.21718754881098,A+,A
367375360,OCEAN ANGEL 3,NA,100,82.7401515119428,1484.1447842213,4.260203523361418,4.2603067982273775,801.3743652537805,0,801.3743652537805,0,0,0,42,NA,30,NA,100,82.7401515119428,A+,A
367032120,NOT NAMED,NA,100,0,1373.8711,7.339473684210526,1258.4180789473685,741.8313175427,0,741.8313175427,0,0,0,2,NA,0,NA,100,0,A+,A
367730310,SAN PEDRO PRIDE,NA,100,93.5614500557263,1159.969139735,5.003671367808373,5.010580570461159,626.3334567838914,0,626.3334567838914,0,0,0,21,NA,30,NA,100,93.5614500557263,A+,A
367664560,EXCALIBUR,NA,100,85.32129787446131,1143.122137536,5.101916932907348,5.234863987982306,617.236800017526,0.24741909654,617.236800017526,0,0,0,10,NA,30,NA,100,85.32129787446131,A+,A
367657270,MICHELE FOSS,Foss Maritime Co,100,90.07785858446712,1116.1037488,7.665729218516675,7.819394723992036,602.6480318908016,0,602.6480318908016,0,0,0,8,714,52,Tug,100,90.07785858446712,A+,A
367719640,CATALINA PROVIDER,Avalon Freight Services LLC,100,92.29722830532195,1067.8607761,8.414070351758793,8.579254744974874,576.5989010806277,0,576.5989010806277,0,0,0,32,603,70,Landing Craft,100,92.29722830532195,A+,A
